names,importances,experiment_id,CO_MES,var_target
"('10~mes', '31052000~prdt', '12~geo1', '999~geo3', 'preço_rel')",0.025859882921747245,f1e74791-3ed9-4241-b376-58d6d2912f97,03~mes,kt
ANO,0.002931521846207127,f1e74791-3ed9-4241-b376-58d6d2912f97,03~mes,kt
"('02~mes', '-9:-63', 'mm')",0.1111111111111111,f1e74791-3ed9-4241-b376-58d6d2912f97,03~mes,oc
ANO,0.0,f1e74791-3ed9-4241-b376-58d6d2912f97,03~mes,oc
"('09~mes', '38089199~prdt', '04~geo1', '999~geo3', 'preço_rel')",0.06400168849387328,fb5ae24a-3a2b-4f85-b8a3-b6705dd02d8e,04~mes,kt
ANO,0.0,fb5ae24a-3a2b-4f85-b8a3-b6705dd02d8e,04~mes,kt
"('07~mes', '52010020~prdt', '15~geo1', '999~geo3', 'kt')",0.09999999999999998,fb5ae24a-3a2b-4f85-b8a3-b6705dd02d8e,04~mes,oc
ANO,0.024999999999999994,fb5ae24a-3a2b-4f85-b8a3-b6705dd02d8e,04~mes,oc
"('03~mes', '31054000~prdt', '14~geo1', '999~geo3', 'kt')",0.11605573857932795,f1e50265-6aa6-4da1-8229-2c4f0693911d,05~mes,kt
ANO,0.007366188856180278,f1e50265-6aa6-4da1-8229-2c4f0693911d,05~mes,kt
"('09~mes', '31022100~prdt', '21~geo1', '999~geo3', 'kt')",0.06451612903225808,f1e50265-6aa6-4da1-8229-2c4f0693911d,05~mes,oc
"('11~mes', '31055900~prdt', '30~geo1', '999~geo3', 'kt')",0.06451612903225808,f1e50265-6aa6-4da1-8229-2c4f0693911d,05~mes,oc
ANO,0.0,f1e50265-6aa6-4da1-8229-2c4f0693911d,05~mes,oc
"('12~mes', '27101932~prdt', '23~geo1', '999~geo3', 'kt')",0.08323118637021083,b46b8604-5ad3-44c9-b608-75f97258da2f,06~mes,kt
ANO,0.010294817582495015,b46b8604-5ad3-44c9-b608-75f97258da2f,06~mes,kt
"('09~mes', '25101010~prdt', '27~geo1', '999~geo3', 'kt')",0.08196721311475409,b46b8604-5ad3-44c9-b608-75f97258da2f,06~mes,oc
"('12~mes', '24013000~prdt', '28~geo1', '999~geo3', 'kt')",0.08196721311475409,b46b8604-5ad3-44c9-b608-75f97258da2f,06~mes,oc
"('06~mes', '87012000~prdt', '30~geo1', '999~geo3', 'preço_rel')",0.08196721311475409,b46b8604-5ad3-44c9-b608-75f97258da2f,06~mes,oc
ANO,0.0,b46b8604-5ad3-44c9-b608-75f97258da2f,06~mes,oc
"('11~mes', '17011400~prdt', '30~geo1', '999~geo3', 'preço_rel')",0.04744954111203249,19eedcdb-11d8-435a-aa89-b77539339fd7,07~mes,kt
ANO,4.1159608238221836e-05,19eedcdb-11d8-435a-aa89-b77539339fd7,07~mes,kt
ANO,0.0,19eedcdb-11d8-435a-aa89-b77539339fd7,07~mes,oc
"('11~mes', '31022100~prdt', '17~geo1', '999~geo3', 'kt')",0.07125635090600721,8ddd97be-ded6-439a-99af-bba06baf6ecb,08~mes,kt
ANO,0.0009509876546650347,8ddd97be-ded6-439a-99af-bba06baf6ecb,08~mes,kt
ANO,0.0,8ddd97be-ded6-439a-99af-bba06baf6ecb,08~mes,oc
"('12~mes', '31021010~prdt', '12~geo1', '999~geo3', 'kt')",0.03949104414432337,727a0cbb-291c-4904-8728-2645e8b2a5b5,09~mes,kt
ANO,0.001734784151670783,727a0cbb-291c-4904-8728-2645e8b2a5b5,09~mes,kt
ANO,0.0,727a0cbb-291c-4904-8728-2645e8b2a5b5,09~mes,oc
"('06~mes', '27101921~prdt', '11~geo1', '999~geo3', 'kt')",0.04126077384387696,5393d1b5-a43a-49ff-a76a-d3ecacd6cb98,10~mes,kt
ANO,0.0005162642625879402,5393d1b5-a43a-49ff-a76a-d3ecacd6cb98,10~mes,kt
ANO,0.0,5393d1b5-a43a-49ff-a76a-d3ecacd6cb98,10~mes,oc
"('03~mes', '31021010~prdt', '21~geo1', '999~geo3', 'preço_rel')",0.35114652651811723,2dfb704e-d39e-40fa-b855-b2f7a75d43f0,11~mes,kt
ANO,0.0031199463597479725,2dfb704e-d39e-40fa-b855-b2f7a75d43f0,11~mes,kt
ANO,0.0,2dfb704e-d39e-40fa-b855-b2f7a75d43f0,11~mes,oc
"('12~mes', '-13:-39', 'mm')",0.11626564769903286,b2856054-66a2-4a6d-a89b-825b2c231c2f,12~mes,kt
ANO,0.01245873595232883,b2856054-66a2-4a6d-a89b-825b2c231c2f,12~mes,kt
ANO,0.0,b2856054-66a2-4a6d-a89b-825b2c231c2f,12~mes,oc
"('02~mes', '10051000~prdt', '12~geo1', '999~geo3', 'kt')",0.10451130413911172,75866d53-04d3-4983-ac9a-cce8f0346fb7,01~mes,kt
"('03~mes', '-14:-40', 'mm')",0.09571300009866293,75866d53-04d3-4983-ac9a-cce8f0346fb7,01~mes,kt
ANO,0.0015016877984022525,75866d53-04d3-4983-ac9a-cce8f0346fb7,01~mes,kt
ANO,0.0,75866d53-04d3-4983-ac9a-cce8f0346fb7,01~mes,oc
"('09~mes', '25030010~prdt', '12~geo1', '998~geo3', 'preço_rel')",0.27067589984327095,4f42127b-de80-41e8-8f68-4ab325a0827f,02~mes,kt
ANO,0.0015775284463075934,4f42127b-de80-41e8-8f68-4ab325a0827f,02~mes,kt
"('06~mes', '31053010~prdt', '27~geo1', '999~geo3', 'preço_rel')",0.07575757575757576,4f42127b-de80-41e8-8f68-4ab325a0827f,02~mes,oc
"('04~mes', '17011100~prdt', '30~geo1', '998~geo3', 'kt')",0.07575757575757576,4f42127b-de80-41e8-8f68-4ab325a0827f,02~mes,oc
ANO,0.0,4f42127b-de80-41e8-8f68-4ab325a0827f,02~mes,oc
